Beam (IfcBeam),,,,,,,,"Predefined Type, IFC 4",Object type override Sample,
"An IfcBeam is a horizontal, or nearly horizontal, structural member that is capable of withstanding load primarily by resisting bending. It represents such a member from an architectural point of view. It is not required to be load bearing.",,,,,,,,"BEAM, JOIST, HOLLOWCORE,  LINTEL, SPANDREL, T_BEAM, GIRDER_SEGMENT, DIAPHRAGM, PIERCAP, HATSTONE, CORNICE, EDGEBEAM",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,LINTEL,-,Required,-,
Length,Length,Qto_BeamBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),1,-,Required,-,
Area,Area,Qto_BeamBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),1,-,Required,-,
GrossVolume,GrossVolume,Qto_BeamBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),1,-,Required,-,
NetVolume,NetVolume,Qto_BeamBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),1,-,Required,-,
Status,Status,Pset_BeamCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
IsExternal,IsExternal,Pset_BeamCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
FireRating,FireRating,Pset_BeamCommon,IFC Standard Property.,YES,integer (unit in minutes),60,-,Required,-,
LoadBearing,LoadBearing,Pset_BeamCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
Slope,Slope,Pset_BeamCommon,IFC Standard Property.,YES,Number (unit in %),100,-,Required,-,
Capacity,Capacity,Pset_BeamCommon,IFC Standard Property.,YES,Text,10,-,Required,-,
Span,Span,Pset_BeamCommon,IFC Standard Property.,YES,Number,1,-,Required,-,
AssessmentDate,AssessmentDate,Pset_Condition,IFC Standard Property.,YES,Date,2021-01-01 00:00:00,-,N/A,-,
AssessmentCondition,AssessmentCondition,Pset_Condition,IFC Standard Property.,YES,Text,"Good, OK, Poor",-,N/A,-,
AssessmentDescription,AssessmentDescription,Pset_Condition,IFC Standard Property.,YES,Text ,Free Text,-,N/A,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number  (unit in m3),1,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m2),1,-,Required,-,
Concrete Cover,ConcreteCover,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text (unit in meter),1,-,Required,-,
CompressiveStrength,CompressiveStrength,Building Permit,Concrete grade,YES,Number (Pa),30,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Concrete,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
