Building (IfcBuilding),,,,,,,,,,
"A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space).",,,,,,,,,,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
Description,Description,IfcBuilding attribute,NA,YES,Text,,-,Required,-,
LongName,LongName,IfcBuilding attribute,NA,YES,Number ,111111,-,Required,-,
BuildingAddress,BuildingAddress,IfcBuilding attribute,NA,YES,Text,Enclosed Offices,-,Required,-,
ConstructionMethod,ConstructionMethod,Pset_BuildingCommon,IFC Standard Property.,YES,Text,,-,Required,-,
FireProtectionClass,FireProtectionClass,Pset_BuildingCommon,IFC Standard Property.,YES,Text,,-,Required,-,
SprinklerProtection,SprinklerProtection,Pset_BuildingCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
YearOfConstruction,YearOfConstruction,Pset_BuildingCommon,IFC Standard Property.,YES,Number ,2024,-,Required,-,
IsLandmarked,IsLandmarked,Pset_BuildingCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
Height,Height,Qto_BuildingBaseQuantities,IFC Standard Property.,YES,Number (Units in m ),,-,Required,-,
BuildingNum,BuildingNum,Building Permit,"A sequential number for grouping buildings submitted under the same projects when the project contains multiple buildings. When a building is split into multiple ifc files, all the ifc files for the same building must share the same BuildingNum.",YES,Number ,1,-,Required,-,
Occupancy,Occupancy,Building Permit,This is the 'Master Usage' of the building. Comma separated value. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,"RESIDENTIAL,COMMERCIAL",-,Required,-,
OccupancyUse,OccupancyUse,Building Permit,This is the 'Main Usage' of the building. Comma separated value. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,"residential apartments,shops",-,Required,-,
OccupancyUsageCode,OccupancyUsageCode,Building Permit,This is the 'Main Usage' code of the building. Comma separated value. See Appendix C_Usages Codes.xlsx for more details. ,YES,Text,"MS.1.1,MS.3.2",-,Required,-,
TotalBuildupArea,TotalBuildupArea,Building Permit,"Total buildup area of the building as defined by the building code. Only to be added in AR models. If the building is split into multiple ifc files, the same values should be added in all ifc files.",YES,Number (Units in m2 ),1,-,Required,-,
TotalGrossArea,TotalGrossArea,Building Permit,"Total gross area of the building as defined by the building code. Only to be added in AR models. If the building is split into multiple ifc files, the same values should be added in all ifc files.",YES,Number (Units in m2 ),1,-,Required,-,
TotalFloorGrossArea,TotalFloorGrossArea,Building Permit,"Total gross floor area of the building as defined by the building code. Only to be added in AR models. If the building is split into multiple ifc files, the same values should be added in all ifc files.",YES,Number (Units in m2 ),1,-,Required,-,
TotalNetArea,TotalNetArea,Building Permit,"Total net area of the building as defined by the building code. Only to be added in AR models. If the building is split into multiple ifc files, the same values should be added in all ifc files.",YES,Number (Units in m2 ),1,-,Required,-,
RecycledConcreteVolume,RecycledConcreteVolume,Building Permit,This value is required if available,YES,Number (m3),150,-,Conditional,-,
RecycledSteelWeight,RecycledSteelWeight,Building Permit,This value is required if available,YES,Number (kg),4500,-,Conditional,-,
RecycledAluminiumWeight,RecycledAluminiumWeight,Building Permit,This value is required if available,YES,Number (kg),500,-,Conditional,-,
RecycledGypsumWeight,RecycledGypsumWeight,Building Permit,This value is required if available,YES,Number (kg),600,-,Conditional,-,
