Building Element Proxy(IfcBuildingElementProxy),,,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4", object type override data samples,
"An IfcBuildingElementProxy is a proxy definition that provides the same functionality as subtypes of IfcBuildingElement, but without having a predefined meaning of the special type of building element, it represents.
Proxies can also be used as spatial place holders or provisions, that are later replaced by special types of elements.",,,,,,,/,"COMPLEX, ELEMENT, PARTIAL, PROVISIONFORVOID, PROVISIONFORSPACE",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,PARTIAL,Y,Y,Y,
IsExternal,IsExternal,Pset_BuildingElementProxyCommon,IFC Standard Property.,YES,Boolean,YES/NO,Y,Y,Y,
ThermalTransmittance,ThermalTransmittance,Pset_BuildingElementProxyCommon,IFC Standard Property.,YES,Number (units in W/m2⋅K),5.7,Y,Y,Y,
LoadBearing,LoadBearing,Pset_BuildingElementProxyCommon,IFC Standard Property.,YES,Boolean,YES/NO,Y,Y,Y,
FireRating,FireRating,Pset_BuildingElementProxyCommon,IFC Standard Property.,YES,Number (units in minutes),120,N,N,Y,
Status,Status,Pset_BuildingElementProxyCommon,IFC Standard Property.,YES,Text,"New, Existing",Y,Y,Y,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,NA,YES,Number (0..1),0.2,N,Y,Y,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,NA,YES,Number (0..1),0.5,N,Y,Y,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,NA,YES,Text,,N,Y,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,Y,Y,Y,
