Covering and Finishes (IfcCovering),,,,,,,,"Predefined Type, IFC 4", object type override data sample,
"A covering is an element which covers some part of another element and is fully dependent on that other element, an example could be timber, tile or carpet flooring.",,,,,,,,"CEILING, FLOORING,
CLADDING, ROOFING, MOLDING, SKIRTINGBOARD, INSULATION, MEMBRANE, SLEEVING, WRAPPING,","DRIVEWAYPARALLEL, DRIVEWAY45, DRIVEWAY60, DRIVEWAY75, DRIVEWAY90ONEWAY, DRIVEWAY90TWOWAY, GRASS, PLASTER",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,FLOORING,-,Required,-,
Width,Width,Qto_CoveringBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
GrossArea,GrossArea,Qto_CoveringBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),3,-,Required,-,
AcousticRating,AcousticRating,Pset_CoveringCommon,IFC Standard Property.,YES,Text,0.05,-,Required,-,
Combustible,Combustible,Pset_CoveringCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
Finish,Finish,Pset_CoveringCommon,IFC Standard Property.,YES,Text,Carpet,-,Required,-,
FireRating,FireRating,Pset_CoveringCommon,IFC Standard Property.,YES,Integer (unit in minutes),120,-,Required,-,
FlammabilityRating,FlammabilityRating,Pset_CoveringCommon,IFC Standard Property.,YES,Number (unit in %),40,-,Required,-,
FragilityRating,FragilityRating,Pset_CoveringCommon,IFC Standard Property.,YES,Number (unit in %),30,-,Required,-,
IsExternal,IsExternal,Pset_CoveringCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_CoveringCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
Status,Status,Pset_CoveringCommon,IFC Standard Property.,YES,Text,"Existing, New",-,Required,-,
SurfaceSpreadOfFlame,SurfaceSpreadOfFlame,Pset_CoveringCommon,IFC Standard Property.,YES,Number (unit in meter),4,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_CoveringCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K)),5.7,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,30,-,Required,-,
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,30,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Concrete,-,Required,-,
Color,Color,Building Permit,NA,YES,Text,Grey,-,Required,-,
Recyclable,Recyclable,Building Permit,This value is required if available,YES,Boolean,,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,Required,-,
