Door (IfcDoor),,,,,,,,"Predefined Type, IFC 4",object type override data samples,
"An IfcDoor is a building element that is predominately used to provide controlled access for people and goods. It includes constructions with hinged, pivoted, sliding, and additionally revolving and folding operations. A door consists of a lining and one or several panels.",,,,,,,,"DOOR, GATE, TRAPDOOR","ELEVATORDOOR, BALCONYDOOR, GARBAGEROOMDOOR, ENTRYDOOR, GENERALDOOR, BATHROOMDOOR, TOILETDOOR, EXITDOOR, EXITACCESSDOOR, DOUBLEGARAGEDOOR, SINGLEGARAGEDOOR, MAINENTRANCEDOOR, SERVICEDOOR",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,GATE,-,Required,-,
Width,Width,Qto_DoorBaseQuantities,IFC Standard Property,NO,Number(unit in meter),2,-,Required,-,
Height,Height,Qto_DoorBaseQuantities,IFC Standard Property,NO,Number(unit in meter),2,-,Required,-,
Area,Area,Qto_DoorBaseQuantities,IFC Standard Property,NO,Number(unit in m2),3,-,Required,-,
Perimeter,Perimeter,Qto_DoorBaseQuantities,IFC Standard Property,NO,Number(unit in meter),6,-,Required,-,
Status,Status,Pset_DoorCommon,IFC Standard Property,YES,Text,"Existing, New",-,Required,-,
IsExternal,IsExternal,Pset_DoorCommon/Building Permit,IFC Standard Property,YES,Boolean,YES/NO,-,Required,-,
FireRating,FireRating,Pset_DoorCommon,IFC Standard Property,YES,Integer(unit in minutes),60,-,Required,-,
SelfClosing,SelfClosing,Pset_DoorCommon,IFC Standard Property,YES,Boolean,YES/NO,-,Required,-,
HandicapAccessible,HandicapAccessible,Pset_DoorCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_DoorCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
HasDrive,HasDrive,Pset_DoorCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_DoorCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
FireExit,FireExit,Pset_DoorCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_DoorCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
SelfClosing,SelfClosing,Pset_DoorCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_DoorCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
AcousticRating,AcousticRating,Pset_DoorCommon,IFC Standard Property.,YES,Text ,0.05,-,Required,-,
SecurityRating,SecurityRating,Pset_DoorCommon,IFC Standard Property.,YES,Text,0.1,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_DoorCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K)),5.7,-,Required,-,
SmokeStop,SmokeStop,Pset_DoorCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
IsEntrance,IsEntrance,Building Permit,NA,YES,Boolean,YES/NO,-,Required,-,
SelfLatching,SelfLatching,Building Permit,NA,YES,Boolean,YES/NO,-,Required,-,
SelfLocking,SelfLocking,Building Permit,NA,YES,Boolean,YES/NO,-,Required,-,
HardwareHeight,HardwareHeight,Building Permit,NA,YES,Number(unit in meter),1.3,-,Required,-,
HasVisionPanel,HasVisionPanel,Building Permit,NA,YES,Boolean,YES/NO,-,Required,-,
DoorClearWidth,DoorClearWidth,Building Permit,"Refer: Dubai Building Code, page B53, Figure B.43",YES,Number(unit in meter),0.9,-,Required,-,
Operation,Operation,Building Permit,NA,YES,Text,Outside/ Inside,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Wood,-,Required,-,
Color,Color,Building Permit,NA,YES,Text,Grey,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,100,-,Required,-,
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,30,-,Required,-,
Recyclable,Recyclable,Building Permit,This value is required if available,YES,Boolean,,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,Required,-,
