Duct Fittings (IfcDuctFitting),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",object type override samples,
"Description: An IfcDuctFitting is a junction or transition in a ducted flow distribution system or used to connect duct segments, resulting in changes in flow characteristics to the fluid such as direction and flow rate.",,,,,,"BEND, CONNECTOR, ENTRY, EXIT, JUNCTION, OBSTRUCTION, TRANSITION","BEND, CONNECTOR, ENTRY, EXIT, JUNCTION, OBSTRUCTION, TRANSITION",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,CONNECTOR,Y,Y,Y,
PressureClass,PressureClass,Pset_DuctFittingTypeCommon,YES,Number (unit in Pa),200,Y,Y,Y,
PressureRange,PressureRange,Pset_DuctFittingTypeCommon,YES,Number (Unit in Pa),150,Y,Y,Y,
TemperatureRange,TemperatureRange,Pset_DuctFittingTypeCommon,YES,Number (unit in ° F),400,Y,Y,Y,
Status,Status,Pset_DuctFittingTypeCommon,YES,Text,"New, Existing",N,N,Y,
Recyclable,Recyclable,Building Permit,YES,Boolean,,N,Y,Y,
MaterialPassportCodes,MaterialPassportCode,Building Permit,YES,Text,,N,Y,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
