Ducting (IfcDuctSegment),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",object type override samples,
Description: An IfcDuctSegment is used to typically join two sections of duct network,,,,,,"RIGIDSEGMENT, FLEXIBLESEGMENT","RIGIDSEGMENT, FLEXIBLESEGMENT",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,FLEXIBLESEGMENT,Y,Y,Y,
HasLiner,HasLiner,Pset_DuctSegmentOccurrence,YES,Boolean,YES/NO,N,Y,Y,
Color,Color,Pset_DuctSegmentOccurrence,YES,Text,Grey,N,Y,Y,
WorkingPressure,WorkingPressure,Pset_DuctSegmentTypeCommon,YES,Number (unit in pa),750,Y,Y,Y,
NominalDiameterOrWidth,NominalDiameterOrWidth,Pset_DuctSegmentTypeCommon,YES,Number (unit in meter),0.4,N,N,Y,
NominalHeight,NominalHeight,Pset_DuctSegmentTypeCommon,YES,Number (unit in meter),0.15,Y,Y,Y,
Reinforcement,Reinforcement,Pset_DuctSegmentTypeCommon,YES,Text,Stiffener,N,N,Y,
PressureRange,PressureRange,Pset_DuctSegmentTypeCommon,YES,Number (unit in Pa),150,N,N,Y,
TemperatureRange,TemperatureRange,Pset_DuctSegmentTypeCommon,YES,Number (unit in ° F),400,N,N,Y,
Status,Status,Pset_DuctSegmentTypeCommon,YES,Text,"New, Existing",N,N,Y,
Shape,Shape,Pset_DuctSegmentTypeCommon,YES,Text,Bend,N,N,Y,
Recyclable,Recyclable,Building Permit,YES,Boolean,,N,Y,Y,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,YES,Text,,N,Y,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
