Floor (IfcSlab),,,,,,,,"Predefined Type, IFC 4", object type override data samples
An IfcSlab is a component of the construction that normally encloses a space vertically. The slab may provide the lower support (floor) or upper construction (roof slab) in any space in a building.,,,,,,,,"FLOOR, ROOF, LANDING, BASESLAB, APPROACH_SLAB, PAVING, WEARING, SIDEWALK
","GRASS, ONEWAYINTERNALROAD, TWOWAYINTERNALROAD, ONEWAYEXTERNALROAD, TWOWAYEXTERNALROAD, ONEWAYTRUCKROAD, TWOWAYTRUCKROAD, ACCESSIBLERAMP"
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,SIDEWALK,-,Required,-
Length,Length,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in meter),1,-,Required,-
Width,Width,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in meter),1,-,Required,-
Area,Area,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in m2),3,-,Required,-
Volume,Volume,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in m3),3,-,Required,-
Perimeter,Perimeter,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in meter),6,-,Required,-
Thickness,Depth,Qto_SlabBaseQuantities,IFC Standard Property,No,Number (unit in meter),0.02,-,Required,-
LoadBearing,LoadBearing ,Pset_SlabCommon/Building Permit,IFC Standard Property,YES,Boolean,YES/NO,-,Required,-
Status,Status,Pset_SlabCommon,IFC Standard Property,YES,Text,"New, Existing",-,Required,-
Fire Compartment,Compartmentation,Pset_SlabCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-
IsExternal,IsExternal,Pset_SlabCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_SlabCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-
ThermalTransmittance,ThermalTransmittance,Pset_SlabCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K)),5.7,-,Required,-
FireRating,FireRating,Pset_SlabCommon,IFC Standard Property.,YES,Integer (unit in minutes),60,-,Required,-
Combustible,Combustible,Pset_SlabCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-
PitchAngle,PitchAngle,Pset_SlabCommon,IFC Standard Property.,YES,Number(unit in degrees),45,-,Required,-
SurfaceSpreadOfFlame,SurfaceSpreadOfFlame,Pset_SlabCommon,IFC Standard Property.,YES,Number(unit in meter),4,-,Required,-
AssessmentDate,AssessmentDate,Pset_Condition,IFC Standard Property.,YES,Date,2021-01-01 00:00:00,-,N/A,-
AssessmentCondition,AssessmentCondition,Pset_Condition,IFC Standard Property.,YES,Text,"Good, OK, Poor",-,N/A,-
AssessmentDescription,AssessmentDescription,Pset_Condition,IFC Standard Property.,YES,Text ,Text,-,N/A,-
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m3),20,-,Required,-
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m2),30,-,Required,-
CompressiveStrength,CompressiveStrength,Building Permit,Concrete grade,YES,Number,,-,Required,-
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,30,-,Required,-
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,30,-,Required,-
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Gypsum,-,Required,-
Color,Color,Building Permit,NA,YES,Text,Grey,-,Required,-
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,OneWayExternalRoad,-,Required,-
