Foundation (IfcFooting),,,,,,,,"Predefined Type, IFC 4", object type override data sample,
"A footing is a part of the foundation of a structure that spreads and transmits the load to the soil. A footing is also characterized as shallow foundation, where the loads are transfered to the ground near the surface.",,,,,,,,"CAISSON_FOUNDATION, FOOTING_BEAM, PAD_FOOTING, PILE_CAP, STRIP_FOOTING",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,STRIPFOOTING,-,Required,-,
Length,Length,Qto_FootingBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),10,-,Required,-,
Width,Width,Qto_FootingBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),3,-,Required,-,
Height,Height,Qto_FootingBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),10,-,Required,-,
NetVolume,NetVolume,Qto_FootingBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),10,-,Required,-,
Status,Status,Pset_FootingCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
AssessmentDate,AssessmentDate,Pset_Condition,IFC Standard Property.,YES,Date,2021-01-01 00:00:00,-,N/A,-,
AssessmentCondition,AssessmentCondition,Pset_Condition,IFC Standard Property.,YES,Text,"Good, OK, Poor",-,N/A,-,
AssessmentDescription,AssessmentDescription,Pset_Condition,IFC Standard Property.,YES,Text ,Text,-,N/A,-,
ConstructionMethod,ConstructionMethod,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text ,"In-Situ, Precast",-,Required,-,
StructuralClass,StructuralClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text ,S1,-,Required,-,
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m3),1,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number(unit in m2),1,-,Required,-,
CompressiveStrength,CompressiveStrength,Building Permit,Concrete grade,YES,Number,30,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Concrete,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
