Furniture (IfcFurniture),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4", object type override data samples,
"Description: An ifcFurniture defines complete furniture, such as a table, desk, chair, or cabinet, that may or may not be permanently attached to the structure of a building. ",,,,,,/,"CHAIR, TABLE, DESK, BED, FILECABINET, SHELF, SOFA",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,PANEL,Y,Y,Y,
Length,Length,Pset_FurnitureTypeCommon,YES,Number (unit in meter),7,Y,Y,Y,
Height,Height,Pset_FurnitureTypeCommon,YES,Number  (unit in meter),22,Y,Y,Y,
Depth,Depth,Pset_FurnitureTypeCommon,YES,Number  (unit in meter),10,Y,Y,Y,
Description,Description,Pset_FurnitureTypeCommon,YES,Text,Table,N,Y,Y,
MainColor,MainColor,Pset_FurnitureTypeCommon,YES,Text,Grey,Y,Y,Y,
IsBuiltIn,IsBuiltIn,Pset_FurnitureTypeCommon,YES,Boolean,YES/NO,Y,Y,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
