Member (IfcMember),,,,,,,,"Predefined Type, IFC 4",Object type override data sample,
"An IfcCMember is a structural member designed to carry loads between or beyond points of support. It is not required to be load bearing. The orientation of the member (being horizontal, vertical or sloped) is not relevant to its definition (in contrary to IfcBeam and IfcColumn)",,,,,,,,"BRACE, CHORD, COLLAR, MEMBER, MULLION, PLATE, POST, PURLIN, RAFTER, STRINGER, STRUT, STUD, STIFFENING_RIB, ARCH_SEGMENT, SUSPENSION_CABLE, SUSPENDER, STAY_CABLE",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,BRACE,-,Required,-,
Span,Span,Pset_MemberCommon,IFC Standard Property.,YES,Number,5,-,Required,-,
Slope,Slope,Pset_MemberCommon,IFC Standard Property.,YES,Number(unit in %),2,-,Required,-,
Roll,Roll,Pset_MemberCommon,IFC Standard Property.,YES,Number,,-,Required,-,
IsExternal,IsExternal,Pset_MemberCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_MemberCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K) ),5.7,-,Required,-,
LoadBearing,LoadBearing,Pset_MemberCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
FireRating,FireRating,Pset_MemberCommon,IFC Standard Property.,YES,Integer (unit in minutes),120,-,Required,-,
Status,Status,Pset_MemberCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m3),1,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m2),1,-,Required,-,
TypeDesignator,TypeDesignator,Pset_PrecastConcreteElementGeneral,IFC Standard Property.,YES,Text,,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
