Pile (IfcPile),,,,,,,,"Predefined Type, IFC 4",Object type override data samples,
"An IfcPile is a slender timber, concrete, or steel structural element, driven, jetted, or otherwise embedded on end in the ground for the purpose of supporting a load. A pile is also characterized as deep foundation, where the loads are transfered to deeper subsurface layers. ",,,,,,,,"BORED, DRIVEN, JETGROUTING, COHESION, FRICTION, SUPPORT",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,FRICTION,-,Required,-,
Status,Status,Pset_PileCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m3),20,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m2),10,-,Required,-,
TypeDesignator,TypeDesignator,Pset_PrecastConcreteElementGeneral,IFC Standard Property.,YES,Text,CastInSitu,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCode,MaterialPassportCode,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
