Pipe (IfcPipeSegment),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",object type override data samples,
Description: An IfcPipeSegment is used to typically join two sections of a piping network.,,,,,,"FLEXIBLESEGMENT, RIGIDSEGMENT, GUTTER, SPOOL","CULVERT, FLEXIBLESEGMENT, RIGIDSEGMENT, GUTTER, SPOOL",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,RIGIDSEGMENT,Y,Y,Y,
BoreSize,BoreSize,Pset_PipeConnectionFlanged,YES,Number (unit in meter),1,Y,Y,Y,
FlangeDiameter,FlangeDiameter,Pset_PipeConnectionFlanged,YES,Number (unit in meter),20,Y,Y,Y,
FlangeThickness,FlangeThickness,Pset_PipeConnectionFlanged,YES,Number (unit in meter),10,Y,Y,Y,
Color,Color,Pset_PipeSegmentOccurrence,YES,Text,Grey,N,N,Y,
Gradient,Gradient,Pset_PipeSegmentOccurrence,YES,Number,,N,N,Y,
InvertElevation,InvertElevation,Pset_PipeSegmentOccurrence,YES,Number (unit in meter),2,N,N,Y,
WorkingPressure,WorkingPressure,Pset_PipeSegmentTypeCommon,YES,Number (unit in Pa),30,N,N,Y,
InnerDiameter,InnerDiameter,Pset_PipeSegmentTypeCommon,YES,Number (unit in meter),0.25,N,N,Y,
OuterDiameter,OuterDiameter,Pset_PipeSegmentTypeCommon,YES,Number (unit in meter),0.27,N,N,Y,
PressureRange,PressureRange,Pset_PipeSegmentTypeCommon,YES,Number (unit in Pa),150,N,N,Y,
TemperatureRange,TemperatureRange,Pset_PipeSegmentTypeCommon,YES,Number  (unit in ° F),300,N,N,Y,
Status,Status,Pset_PipeSegmentTypeCommon,YES,Text,"New, Existing",N,N,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
