Plate (IfcPlate),,,,,,,,"Predefined Type, IFC 4", object type override data samples,
"An IfcPlate is a planar and often flat part with constant thickness. A plate may carry loads between or beyond points of support, or provide stiffening. The location of the plate (being horizontal, vertical or sloped) is not relevant to its definition (in contrary to IfcWall and IfcSlab (as floor slab)).",,,,,,,,"CURTAIN_PANEL, SHEET, FLANGE_PLATE, WEB_PLATE, STIFFENER_PLATE, GUSSET_PLATE, COVER_PLATE, SPLICE_PLATE, BASE_PLATE",/,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,SHEET,-,Required,-,
IsExternal,IsExternal,Pset_PlateCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_PlateCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K)),5.7,-,Required,-,
FireRating,FireRating,Pset_PlateCommon,IFC Standard Property.,YES,Integer (unit in minutes),60,-,Required,-,
Status,Status,Pset_PlateCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,
LoadBearing,LoadBearing,Pset_PlateCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
AcousticRating,AcousticRating,Pset_PlateCommon,IFC Standard Property.,YES,Text,0.05,-,Required,-,
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m3),1,-,Required,-,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,No,Number (unit in m2),1,-,Required,-,
TypeDesignator,TypeDesignator,Pset_PrecastConcreteElementGeneral,IFC Standard Property.,YES,Text,,-,Required,-,
MaterialPassportCodes,MaterialPassportCode,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,-,-,
