Railing (IfcRailing),,,,,,,,"Predefined Type, IFC 4", object type override samples,
"The IfcRailing is a frame assembly adjacent to human circulation spaces and at some space boundaries where it is used in lieu of walls or to compliment walls. Designed to aid humans, either as an optional physical support, or to prevent injury by falling.",,,,,,,,"HANDRAIL,
GUARDRAIL,
BALUSTRADE
","STAIRWAYRAILING, BALCONYRAILING, RAMPRAILING, PLOTFENCE",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,HANDRAIL,-,Required,-,
Length,Length,Qto_RailingBaseQuantities,IFC Standard Property. ,NO,Number (unit in meter),3,-,Required,-,
Height,Height,Pset_RailingCommon,IFC Standard Property. ,YES,Number (unit in meter),12,-,Required,-,
Status,Status,Pset_RailingCommon,IFC Standard Property. ,YES,Text,"New, Existing",-,Required,-,
IsExternal,IsExternal,Pset_RailingCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_RailingCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Gypsum,-,Required,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,Stairway Railing,-,Required,-,
