Ramp (IfcRamp),,,,,,,,"Predefined Type, IFC 4",bject type override data samples,
An IfcRamp is a vertical passageway which provides a human circulation link between one floor level and another floor level at a different elevation. It may include a landing as an intermediate floor slab. A ramp normally does not include steps.,,,,,,,,"STRAIGHT, SPIRAL","ACCESSIBLERAMP, CURBRAMP, SERVICERAMP, SINGLELANERAMP, DOUBLELANERAMP",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,,-,Required,-,
Status,Status,Pset_RampCommon,IFC Standard Property,YES,Text,"New, Existing",-,Required,-,
IsExternal,IsExternal,Pset_RampCommon/Building Permit,IFC Standard Property,YES,Boolean,YES/NO,-,Required,-,
HandicapAccessible,HandicapAccessible,Pset_RampCommon/Building Permit,IFC Standard Property,YES,Boolean,YES/NO,-,Required,-,
RequiredSlope,RequiredSlope,Pset_RampCommon,IFC Standard Property,NO,Number (unit in %),2,-,Required,-,
FireRating,FireRating,Pset_RampCommon,IFC Standard Property,YES,Integer (unit in minutes),60,-,Required,-,
FireExit,FireExit,Pset_RampCommon/Building Permit,IFC Standard Property. The value should be the same under Pset_RampCommon and Building Permit property set.,YES,Boolean,YES/NO,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,30,-,Required,-,
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,30,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Gypsum,-,Required,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,ACCESSIBLERAMP,-,Required,-,
