RampFlight (IfcRampFlight),,,,,,,,"Predefined Type, IFC 4",bject type override data samples,
An IfcRamp is a vertical passageway which provides a human circulation link between one floor level and another floor level at a different elevation. It may include a landing as an intermediate floor slab. A ramp normally does not include steps.,,,,,,,,"STRAIGHT, SPIRAL","ACCESSIBLERAMP, CURBRAMP, SERVICERAMP, SINGLELANERAMP, DOUBLELANERAMP",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,,-,Required,-,
Length,Length,Qto_RampFlightBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),1,-,Required,-,
Width,Width,Qto_RampFlightBaseQuantities,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,
Area,Area,Qto_RampFlightBaseQuantities,IFC Standard Property.,NO,Number (unit in m2),3,-,Required,-,
Volume,Volume,Qto_RampFlightBaseQuantities,IFC Standard Property.,NO,Number (unit in m3),1,-,Required,-,
Slope,Slope,Pset_RampFlightCommon,IFC Standard Property.,NO,Number (unit in %),2,-,Required,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,ACCESSIBLERAMP,-,Required,-,
