Sanitary Terminal (IfcSanitaryTerminal),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",object type override data samples,
"Description: An IfcSanitaryTerminal is a fixed appliance or terminal usually supplied with water and used for drinking, cleaning or foul water disposal or that is an item of equipment directly used with such an appliance or terminal.",,,,,,"BATH, BIDET, CISTERN, SHOWER, SINK, SANITARY FOUNTAIN, TOILETPAN, URINAL, WASHHANDBASIN, WCSEAT","BATH, BIDET, CISTERN, SHOWER, SINK, SANITARY FOUNTAIN, TOILETPAN, URINAL, WASHHANDBASIN, WCSEAT",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,TOILETPAN,Y,Y,Y,
Length,Length,Pset_SanitaryTerminalTypeCommon,YES,Number (unit in Meter),1,N,Y,Y,
Width,Width,Pset_SanitaryTerminalTypeCommon,YES,Number (unit in Meter),2,N,Y,Y,
Depth,Depth,Pset_SanitaryTerminalTypeCommon,YES,Number (unit in Meter),0.2,N,Y,Y,
Status,Status,Pset_SanitaryTerminalTypeCommon,YES,Text,"New, Existing",N,N,Y,
IfcMaterial,IfcMaterial,Building Permit,YES,Text,Gypsum,Y,Y,Y,
Recyclable,Recyclable,Building Permit,YES,Boolean,,N,Y,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
