Shading Device (IfcShadingDevice),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",object type override data samples,
"Description: An IfcShadingDevice is purpose built device to protect from the sunlight, from natural light, or screening them from view. Shading devices can form part of the facade or can be mounted inside the building, they can be fixed or operable.",,,,,,"JALOUSIE, SHUTTER, AWNING","JALOUSIE, SHUTTER, AWNING",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,NO,SHUTTER,Y,Y,Y,
IsExternal,IsExternal,Pset_ShadingDeviceCommon,YES,Boolean,YES/NO,Y,Y,Y,
MechanicalOperated,MechanicalOperated,Pset_ShadingDeviceCommon,YES,Boolean,YES/NO,Y,Y,Y,
ThermalTransmittance,ThermalTransmittance,Pset_ShadingDeviceCommon,YES,Number (unit in W/(m2⋅K)),5.7,Y,Y,Y,
SolarTransmittance,SolarTransmittance,Pset_ShadingDeviceCommon,YES,Number,0.2,N,N,Y,
SurfaceColor,SurfaceColor,Pset_ShadingDeviceCommon,YES,Text,Grey ,Y,Y,Y,
Status,Status,Pset_ShadingDeviceCommon,YES,Text,"New, Existing",N,N,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
