StairFlight (IfcStairFlight),,,,,,,,"Predefined Type, IFC 4",object type override data samples,,
"Description: An IfcStairflight is an assembly of building components in a single ""run"" of stair steps (not interrupted by a landing). The stair steps and any stringers are included in the stair flight. A winder is also regarded a part of a stair flight.",,,,,,,,"STRAIGHT, WINDER, SPIRAL, CURVED, FREEFORM","FIREEXITSTAIR, REGULARSTAIR, COMMONSTAIR",,
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,ExitStair,-,Required,-,,
Staus,Staus,Pset_StairFlightCommon,IFC Standard Property.,YES,Text,"New, Existing",-,Required,-,,
IsExternal,IsExternal,Pset_StairFlightCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,,
HandicapAccessible,HandicapAccessible,Pset_StairFlightCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,,
NumberOfRiser,NumberOfRiser,Pset_StairFlightCommon,IFC Standard Property.,NO,Number,15,-,Required,-,,
NumberOfTreads,NumberOfTreads,Pset_StairFlightCommon,IFC Standard Property.,NO,Number,15,-,Required,-,,
RiserHeight,RiserHeight,Pset_StairFlightCommon,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,,
TreadLength,TreadLength,Pset_StairFlightCommon,IFC Standard Property.,NO,Number (unit in meter),2,-,Required,-,,
NosingLength,NosingLength,Pset_StairFlightCommon,IFC Standard Property.,YES,Number (unit in meter),0.02,-,Required,-,,
WaistThickness,WaistThickness,Pset_StairFlightCommon,IFC Standard Property.,YES,Number (unit in meter),0.05,-,Required,-,,
StrengthClass,StrengthClass,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Text,C14,-,Required,-,,
ReinforcementVolumeRatio,ReinforcementVolumeRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m3),1,-,Required,-,,
ReinforcementAreaRatio,ReinforcementAreaRatio,Pset_ConcreteElementGeneral,IFC Standard Property.,YES,Number (unit in m2),1,-,Required,-,,
LightReflectanceValue ,LightReflectanceValue ,Building Permit,NA,YES,Number (unit in %),50,-,Required,-,,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,36,-,Required,-,,
IsSlipResistant,IsSlipResistant,Building Permit,NA,YES,Boolean,YES/NO,-,Required,-,,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Gypsum,-,Required,-,,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number (0..1),0.2,-,Conditional,-,,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number (0..1),0.5,-,Conditional,-,,
MaterialPassportCodes,MaterialPassportCode,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,RegularStair,-,Required,-,,
