Transformer (IfcTransformer),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4", object type override data samples,
Description: An IfcTransformer is an inductive stationary device that transfers electrical energy from one circuit to another.,,,,,,"CURRENT, FREQUENCY, VOLTAGE","CURRENT, FREQUENCY, INVERTER, RECTIFIER, VOLTAGE",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,INVERTER,Y,Y,Y,
Status,Status,Pset_TransformerTypeCommon,YES,Text,"New, Existing",Y,Y,Y,
PowerFactor,PowerFactor,Pset_ElectricalDeviceCommon,YES,Number,10,N,N,Y,
NumberOfPoles,NumberOfPoles,Pset_ElectricalDeviceCommon,YES,Number,5,N,N,Y,
HasProtectiveEarth,HasProtectiveEarth,Pset_ElectricalDeviceCommon,YES,Boolean,YES/NO,N,N,Y,
RatedVoltage,RatedVoltage,Pset_ElectricalDeviceCommon,YES,Number(unit in volt),100,N,N,Y,
InsulationStandardClass,InsulationStandardClass,Pset_ElectricalDeviceCommon,YES,Text,50,N,N,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
