Wall (IfcWall),,,,,,,,"Predefined Type, IFC 4",Object type override data samples,
"The IfcWall represents a vertical construction that bounds or subdivides spaces. Wall are usually vertical, or nearly vertical, planar elements, often designed to bear structural loads. A wall is however not required to be load bearing.",,,,,,,,"MOVABLE, PARAPET, PARTITIONING, PLUMBINGWALL, SHEAR, SOLIDWALL, STANDARD, POLYGONAL, ELEMENTEDWALL, RETAININGWALL","FACADEWALL, BASEMENTWALL, PARAPETWALL, CURTAINWALL, SHAFTWALL, PLANTERWALL",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,STANDARD,-,Required,-,
Length,Length,Qto_WallBaseQuantities,IFC Standard Property.,NO,Number (unit in  meter),1,-,Required,-,
Width,Width,Qto_WallBaseQuantities,IFC Standard Property.,NO,Number (unit in  meter),1,-,Required,-,
Hight,Hight,Qto_WallBaseQuantities,IFC Standard Property.,NO,Number (unit in  meter),3,-,Required,-,
Volume,Volume,Qto_WallBaseQuantities,IFC Standard Property.,NO,Number (unit in  m3),3,-,Required,-,
Area,Area,Qto_WallBaseQuantities,IFC Standard Property.,NO,Number (unit in  m2),3,-,Required,-,
Status,Status,Pset_WallCommon,IFC Standard Property.,YES,Text,"Existing, New",-,Required,-,
IsExternal,IsExternal,Pset_WallCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_WallCommon,IFC Standard Property.,YES,Number (unit in  W/(m2⋅K)),5.7,-,Required,-,
FireRating,FireRating,Pset_WallCommon/Building Permit,IFC Standard Property.,YES,integer (unit in minutes),120,-,Required,-,
AcousticRating,AcousticRating,Pset_WallCommon,IFC Standard Property.,YES,Text,0.05,-,Required,-,
Combustible,Combustible,Pset_WallCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
LoadBearing,LoadBearing,Pset_WallCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
Compartmentation,Compartmentation,Pset_WallCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,30,-,Required,-,
CompressiveStrength,CompressiveStrength,Building Permit,Concrete grade,YES,Number (Pa),30,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Concrete,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,30,-,Required,-,
LightReflectanceValue,LightReflectanceValue,Building Permit,NA,YES,Number,30,-,Required,-,
RecycledConcreteRatio,RecycledConcreteRatio,Building Permit,This value is required if available,YES,Number,Number (0..1),-,Conditional,-,
RecycledSteelRatio,RecycledSteelRatio,Building Permit,This value is required if available,YES,Number,Number (0..1),-,Conditional,-,
MaterialPassportCodes,MaterialPassportCode,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,Required,-,
