Window (IfcWindow),,,,,,,,"Predefined Type, IFC 4",object type override data samples,
"The IfcWindow is a building element that is predominately used to provide natural light and fresh air. It includes vertical opening but also horizontal opening such as skylights or light domes. It includes constructions with swinging, pivoting, sliding, or revolving panels and fixed panels. A window consists of a lining and one or several panels.",,,,,,,,"WINDOW, SKYLIGHT, LIGHTDOME, ","SLIDING, OPENABLE",
Attribute,IFC Reference,Property Set,Description,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,-,"Holds the entity specific enumerations from the IFC standard that classifies the entity. If a custom value is needed, the attribute ObjectTypeOverride has to be used to define such custom type, whereas the PredefinedType is set to USERDEFINED.",YES,Text,PIVOTHORIZONTAL,-,Required,-,
Width,Width,Qto_WindowBaseQuantities,IFC Standard Property.,NO,Number(unit in meter),7,-,Required,-,
Area,Area,Qto_WindowBaseQuantities,IFC Standard Property.,NO,Number(unit in m2),3,-,Required,-,
Perimeter,Perimeter,Qto_WindowBaseQuantities,IFC Standard Property.,NO,Number(unit in meter),6,-,Required,-,
Status,Status,Pset_WindowCommon,IFC Standard Property.,YES,Text,"Existing, New",-,Required,-,
IsExternal,IsExternal,Pset_WindowCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
ThermalTransmittance,ThermalTransmittance,Pset_WindowCommon,IFC Standard Property.,YES,Number (unit in W/(m2⋅K),5.7,-,Required,-,
GlazedAreaFraction,GlazedAreaFraction,Pset_WindowCommon,IFC Standard Property.,YES,Number(unit in %),30,-,Required,-,
AcousticRating,AcousticRating,Pset_WindowCommon,IFC Standard Property.,YES,Text,0.05,-,Required,-,
FireRating,FireRating,Pset_WindowCommon,IFC Standard Property.,YES,Integer (unit in minutes),120,-,Required,-,
HasSillExternal,HasSillExternal,Pset_WindowCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
HasSillInternal,HasSillInternal,Pset_WindowCommon,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
FireExit,FireExit,Pset_WindowCommon/Building Permit,IFC Standard Property.,YES,Boolean,YES/NO,-,Required,-,
LightReflectanceValue ,LightReflectanceValue ,Building Permit,NA,YES,Number (unit in %),50,-,Required,-,
SolarReflectanceIndex,SolarReflectanceIndex,Building Permit,NA,YES,Number,36,-,Required,-,
Color,Color,Building Permit,NA,YES,Text,White,-,Required,-,
Operation,Operation,Building Permit,NA,YES,Text,Sliding/Openable/fixed,-,Required,-,
Sill Height,Sill Height,Building Permit,NA,YES,Number(unit in meter),0.9,-,Required,-,
IfcMaterial,IfcMaterial,Building Permit,NA,YES,Text,Aluminum,-,Required,-,
Recyclable,Recyclable,Building Permit,This value is required if available,YES,Boolean,,-,Conditional,-,
RecycledAluminium Ratio,RecycledAluminium Ratio,Building Permit,This value is required if available,YES,Number (0..1),0.3,-,Conditional,-,
MaterialPassportCodes,MaterialPassportCodes,Building Permit,This value is required if available,YES,Text,,-,Conditional,-,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,"Allows for a custom value to be added, if no applicable PredefinedType enumerator can be found.",YES,Text,,-,Required,-,
