Code,Zone Category,Space Description,Space Category Codes,Source (for internal use),Include in BuildUp Area Calc.?,Include in Gross Area Calc.?,Include in Net Area Calc.?,Include in Gross Floor Area Calc.?,,,,,,,,,,,,,,,,,,,,,,,,,
1,Amenities,Hypermarket ,SC_10_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amenities,Kiosk ,SC_10_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
3,Amenities,Salon ,SC_10_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amenities,Barber ,SC_10_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
5,Amenities,Restaurant ,SC_10_20_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
6,Amenities,Food Court,SC_10_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
7,Amenities,Open Dinning Area ,SC_10_20_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
8,Amenities,Pantry ,SC_10_20_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
9,Amenities,Gym,SC_10_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
10,Amenities,Exercise Hall ,SC_10_25_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
11,Amenities,Aerobic Hall ,SC_10_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
12,Amenities,Fitness Area,SC_10_25_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
13,Amenities,Kids Play Room,SC_10_25_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
14,Amenities,Kids Play Area,SC_10_25_35,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
15,Amenities,Play Area,SC_10_25_40,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
16,Amenities,Swimming Pool,SC_10_25_45,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amenities,Swimming Pool Deck,SC_10_25_50,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
18,Amenities,Sport Facility,SC_10_25_55,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
19,Amenities,Prayer Room,SC_10_30_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
20,Amenities,Female Prayer Room,SC_10_30_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
21,Amenities,Male Prayer Room,SC_10_30_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
22,Amenities,Cinema ,SC_10_35_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amenities,Entertainment Area,SC_10_35_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
24,Amenities,Staff Rest Area,SC_10_40_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
25,Amenities,Waiting Area,SC_10_40_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
26,Amenities,Landscape,SC_10_40_20,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
27,Amenities,Multipurpose Hall,SC_10_45_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
28,Amenities,Clinic,SC_10_50_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
29,Amenities,Ironing Room,SC_10_55_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amenities,Spa,SC_10_60_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
31,Circulation Areas,Entry Hall,SC_15_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,1
32,Circulation Areas,Entrance,SC_15_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
33,Circulation Areas,Main Hall,SC_15_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
34,Circulation Areas,Open Court,SC_15_15_10,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
35,Circulation Areas,Closed Court,SC_15_15_15,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
