Building Master Usage,Unit ,UnitUsageCode,Required Extra Info,Source (for internal use),,,,
Residential,Villa,RE_01,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Service Block,RE_02,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Studio,RE_03,"[IsAreaLessThan150:Y/N],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,One Bedroom Apmts,RE_04,"[IsAreaLessThan150:Y/N],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Two Bedroom Apmts,RE_05,"[IsAreaLessThan150:Y/N],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Three Bedroom Apmts,RE_06,"[IsAreaLessThan150:Y/N],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Four Bedroom Apmts,RE_07,"[IsAreaLessThan150:Y/N],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,"'n' Bedrooms, Duplex or Penthouse",RE_08,"[IsAreaLessThan150:Y/N],[Bedrooms:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Labour Rooms,RE_09,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Supervisor Unit,RE_10,[Persons:?],DM_GIS_BDDS_v5.3,,,,
Residential,First Aid Unit,RE_11,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Indoor Recreational Facilities,RE_12,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Dining/T.V. Halls,RE_13,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Single Occupancy Unit (Employees Accom.),RE_14,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Double Occupancy Unit (Employees Accom.),RE_15,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Single Occupancy Unit (Students Accom.),RE_16,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Shared Occupancy Unit (Students Accom.),RE_17,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Residential,Kitchens,RE_18,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Gym,RE_19,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Multipurpose Hall Unit,RE_20,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Kids Play Area Unit,RE_21,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Management Offices Unit,RE_22,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Parking Area,RE_80,N/A,DM_GIS_BDDS_v5.3,,,,
Residential,Others,RE_90,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Studio,HO_01,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Single Rooms,HO_02,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Double Room,HO_03,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Triple Room,HO_04,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Twin,HO_05,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Suite,HO_06,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Dormitory,HO_07,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Hotel Apartments,HO_08,[IsAreaLessThan150:Y/N],DM_GIS_BDDS_v5.3,,,,
Hospitality,Hotel Villa,HO_09,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Hospitality,Conference Rooms,HO_10,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Ballroom/ Banquet Halls,HO_11,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Food And Beverage,HO_12,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Retail,HO_13,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Management Office Unit,HO_14,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Business Center,HO_15,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Spa,HO_16,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Barber/Salon,HO_17,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Gymnasium,HO_18,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Boh ( Back Of House),HO_19,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Bars (To Be Checked With Management ),HO_20,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Discos/Night Clubs(To Be Checked With Management ),HO_21,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Tennis/Squash Courts,HO_22,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Kids Club,HO_23,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Kitchens,HO_24,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Laundry,HO_25,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Swimming Pools,HO_26,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Theme Park,HO_27,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Parking Area,HO_80,N/A,DM_GIS_BDDS_v5.3,,,,
Hospitality,Others,HO_90,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Shop,CM_01,"[WCs:?],[Sinks:?],",DM_GIS_BDDS_v5.3,,,,
Commercial,Showroom,CM_02,"[WCs:?],[Sinks:?],",DM_GIS_BDDS_v5.3,,,,
Commercial,Management Office Unit,CM_03,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Clinic Unit,CM_04,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Cinema Unit,CM_05,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Food Court,CM_06,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Restaurants,CM_07,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Offices,CM_08,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Banks,CM_09,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Business Center,CM_10,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Playing Area,CM_11,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Parking Area,CM_80,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Others,CM_90,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Workshop,IN_01,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Warehouses,IN_02,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Factory,IN_03,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Garage,IN_04,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Contracting Sites,IN_05,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Garageer (Fishing Facility),IN_06,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Kitchen,IN_07,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Press,IN_08,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Openshed,IN_09,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Management Office,IN_10,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Parking Area,IN_80,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Others,IN_90,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Villa,AG_01,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Service Blocks,AG_02,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Management Office,AG_03,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Labour Rooms,AG_04,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Agricultural,Storing Area,AG_05,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Open Storing Area,AG_06,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Stables,AG_07,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Animals Shelter,AG_08,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Veternary Clinic,AG_09,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Barns,AG_10,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Production Area,AG_11,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Covered Plants Area,AG_12,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Parking Area,AG_80,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Others,AG_90,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Police Station,SE_01,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Police Check Point,SE_02,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Civil Defence Station,SE_03,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Control Tower,SE_04,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Control Point,SE_05,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Management Offices,SE_06,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Parking Area,SE_80,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Others,SE_90,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Management Office,HS_01,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Outpatient Unit,HS_02,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Patient Room,HS_03,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Emergency Department,HS_04,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Operation Department,HS_05,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Radiology Department,HS_06,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Intensive Care Unit,HS_07,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Physiopherapy Departments,HS_08,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Pharmacy,HS_09,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Laboratories,HS_10,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Morgue,HS_11,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Shop,HS_12,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Ambulance Unit,HS_13,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Parking Area,HS_80,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Others,HS_90,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Class Room,ED_01,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Baby Room,ED_02,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
